appId,name,genre,headerImage,releaseDate,price,avg,median,atReview,lastTwoWeeks,highest,sampleSize,fetchedAt
200920,"RimWorld",management,,,,0,0,0,0,0,0 .. 20,000,2026-04-01T14:20:51.102Z
629630,"Oxygen Not Included",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/629630/header.jpg?t=1493215905,,2,99€,0,0,0,0,0,0 .. 20,000,2026-04-01T14:20:51.389Z
323090,"Anno 1800",management,,,,0,0,0,0,0,0 .. 20,000,2026-04-01T14:20:51.687Z
248570,"Banished",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/248570/header.jpg?t=1727332328,,Free,8,1,0,0,12,2,000,000 .. 5,000,000,2026-04-01T14:20:52.121Z
227300,"Euro Truck Simulator 2",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/227300/9a81dc3126c56637297b654f9dcac057cfd79b77/header.jpg?t=1773641450,,19,99€,124,27,7,3,186,10,000,000 .. 20,000,000,2026-04-01T14:20:52.504Z
289070,"Sid Meier’s Civilization VI",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/289070/header.jpg?t=1740607040,,59,99€,99,26,9,5,148.5,10,000,000 .. 20,000,000,2026-04-01T14:20:52.812Z
255710,"Cities: Skylines",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/255710/d0d3c785f751d4e5e681c8f6697ef56eb90bd920/header_alt_assets_8.jpg?t=1774972989,,27,99€,56,14,6,3,84,10,000,000 .. 20,000,000,2026-04-01T14:20:53.396Z
1468810,"鬼谷八荒 Tale of Immortal",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1468810/header.jpg?t=1769479020,,16,79€,75,41,21,22,112.5,2,000,000 .. 5,000,000,2026-04-01T14:20:53.685Z
427520,"Factorio",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/427520/header.jpg?t=1763986204,,$35.00,198,55,21,9,297,5,000,000 .. 10,000,000,2026-04-01T14:20:53.975Z
294100,"RimWorld",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/294100/header.jpg?t=1774369681,,$34.99,275,76,27,9,412.5,5,000,000 .. 10,000,000,2026-04-01T14:20:54.249Z
3164500,"Schedule I",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3164500/header.jpg?t=1773974661,,19,50€,30,20,6,3,45,10,000,000 .. 20,000,000,2026-04-01T14:20:54.535Z
281990,"Stellaris",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/281990/header.jpg?t=1774472425,,39,99€,151,23,12,7,226.5,2,000,000 .. 5,000,000,2026-04-01T14:20:54.858Z
270880,"American Truck Simulator",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/270880/a80e5a18363259677ca96c2a39503ea595d2a45f/header.jpg?t=1773641340,,19,99€,83,15,20,2,124.5,2,000,000 .. 5,000,000,2026-04-01T14:20:55.143Z
1811260,"EA SPORTS FIFA 23",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1811260/header.jpg?t=1750187458,,Free,192,97,14,22,288,5,000,000 .. 10,000,000,2026-04-01T14:20:55.428Z
433340,"Slime Rancher",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/433340/header.jpg?t=1758651509,,18,99€,20,9,1,2,30,2,000,000 .. 5,000,000,2026-04-01T14:20:55.731Z
236850,"Europa Universalis IV",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/236850/header.jpg?t=1746720143,,49,99€,365,24,11,13,547.5,5,000,000 .. 10,000,000,2026-04-01T14:20:56.035Z
1868140,"DAVE THE DIVER",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1868140/81bdb3bce15d27ca1b4554a642d91096e89be229/header.jpg?t=1773811303,,19,99€,25,17,4,2,37.5,5,000,000 .. 10,000,000,2026-04-01T14:20:56.389Z
457140,"Oxygen Not Included",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/457140/header.jpg?t=1772559127,,$24.99,104,15,13,9,156,2,000,000 .. 5,000,000,2026-04-01T14:20:56.685Z
1158310,"Crusader Kings III",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1158310/8a7e814d13f8e73c0d40471f585ece908f9be282/header.jpg?t=1773741822,,49,99€,141,39,12,5,211.5,2,000,000 .. 5,000,000,2026-04-01T14:20:56.962Z
323190,"Frostpunk",management,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/323190/abcd2bf3c275092d637d7dd98e0061dbdd2fd2da/header.jpg?t=1769440234,,29,99€,22,9,4,3,33,2,000,000 .. 5,000,000,2026-04-01T14:20:57.238Z